Data;EstacaoCodigo;NivelConsistencia;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;Ano;Mes;DadoSintetico
1970-10-01;349000;1;1;5.0;16.2;18.0;5.0;1;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0;0.2;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;1.0;1970;10;False
1970-10-01;349000;2;1;5.0;16.2;18.0;5.0;1;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0;0.2;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;1.0;1970;10;False
1970-11-01;349000;2;1;6.0;41.5;6.0;11.0;1;1;0;0;0.0;5.0;0.0;0.0;0.0;6.0;0.5;0.0;5.0;0.0;3.0;0.0;0.0;6.0;4.0;0.0;0.0;2.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;0.0;1970;11;False
1970-11-01;349000;1;1;6.0;41.5;6.0;11.0;1;1;0;0;0.0;5.0;0.0;0.0;0.0;6.0;0.5;0.0;5.0;0.0;3.0;0.0;0.0;6.0;4.0;0.0;0.0;2.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;0.0;1970;11;False
1970-12-01;349000;1;1;0.0;0.0;1.0;0.0;1;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;1.0;1970;12;False
1971-04-01;349000;1;1;20.0;47.9;26.0;6.0;1;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.3;20.0;1.7;3.3;4.5;1.1;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;0.0;1971;4;False
1971-04-01;349000;2;1;20.0;47.9;26.0;6.0;1;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.3;20.0;1.7;3.3;4.5;1.1;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;0.0;1971;4;False
1971-05-01;349000;1;1;107.0;230.7;2.0;17.0;1;1;0;0;13.7;107.0;9.0;0.0;7.6;2.1;1.3;0.4;0.4;0.0;13.7;16.5;0.0;7.3;0.6;28.0;5.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;11.6;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;1.0;1971;5;False
1971-05-01;349000;2;1;107.0;230.7;2.0;17.0;1;1;0;0;13.7;107.0;9.0;0.0;7.6;2.1;1.3;0.4;0.4;0.0;13.7;16.5;0.0;7.3;0.6;28.0;5.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;11.6;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;1.0;1971;5;False
1971-06-01;349000;1;1;46.6;180.9;5.0;15.0;1;1;0;0;33.0;10.7;0.0;19.0;46.6;3.2;0.0;0.7;14.8;0.0;3.6;3.4;24.8;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.3;1.8;0.0;2.1;0.0;0.0;0.0;9.4;0.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1;1;1;1;1;1;1.0;1.0;1;1;1;1;1;1.0;1;1;1;1;1.0;1.0;0.0;1971;6;False
